2Theta,Intensity
26.089999999999996,6
26.11,7
26.129999999999995,6
26.15,16
26.169999999999995,8
26.189999999999998,16
26.209999999999994,7
26.229999999999997,12
26.25,5
26.269999999999996,10
26.29,7
26.309999999999995,6
26.33,10
26.349999999999994,9
26.369999999999997,11
26.389999999999993,14
26.409999999999997,7
26.43,7
26.449999999999996,7
26.47,6
26.489999999999995,10
26.509999999999998,7
26.529999999999994,7
26.549999999999997,7
26.569999999999993,5
26.589999999999996,4
26.61,9
26.629999999999995,7
26.65,9
26.669999999999995,6
26.689999999999998,11
26.709999999999994,6
26.729999999999997,10
26.75,13
26.769999999999996,8
26.79,10
26.809999999999995,10
26.83,11
26.849999999999994,10
26.869999999999997,11
26.889999999999993,10
26.909999999999997,11
26.93,8
26.949999999999996,10
26.97,13
26.989999999999995,16
27.009999999999998,10
27.029999999999994,5
27.049999999999997,7
27.069999999999993,8
27.089999999999996,7
27.11,9
27.129999999999995,7
27.15,9
27.169999999999995,12
27.189999999999998,8
27.209999999999994,16
27.229999999999997,9
27.249999999999993,9
27.269999999999996,4
27.29,11
27.309999999999995,6
27.33,11
27.349999999999994,10
27.369999999999997,9
27.389999999999993,8
27.409999999999997,9
27.43,4
27.449999999999996,9
27.47,9
27.489999999999995,8
27.509999999999998,7
27.529999999999994,15
27.549999999999997,8
27.569999999999993,7
27.589999999999996,9
27.61,9
27.629999999999995,17
27.65,8
27.669999999999995,8
27.689999999999998,9
27.709999999999994,9
27.729999999999997,5
27.749999999999993,9
27.769999999999996,10
27.79,6
27.809999999999995,12
27.83,6
27.849999999999994,12
27.869999999999997,3
27.889999999999993,8
27.909999999999997,10
27.93,13
27.949999999999996,8
27.97,17
27.989999999999995,6
28.009999999999998,9
28.029999999999994,7
28.049999999999997,9
28.069999999999993,13
28.089999999999996,15
28.11,9
28.129999999999995,13
28.15,9
28.169999999999995,9
28.189999999999998,6
28.209999999999994,13
28.229999999999997,7
28.249999999999993,7
28.269999999999996,21
28.29,8
28.309999999999995,8
28.33,7
28.349999999999994,10
28.369999999999997,11
28.389999999999993,13
28.409999999999997,21
28.43,7
28.449999999999996,10
28.47,10
28.489999999999995,5
28.509999999999998,5
28.529999999999994,12
28.549999999999997,9
28.569999999999993,3
28.589999999999996,11
28.61,10
28.629999999999995,6
28.65,11
28.669999999999995,9
28.689999999999998,15
28.709999999999994,5
28.729999999999997,6
28.749999999999993,10
28.769999999999996,7
28.79,6
28.809999999999995,8
28.83,11
28.849999999999994,9
28.869999999999997,7
28.889999999999993,8
28.909999999999997,7
28.929999999999993,4
28.949999999999996,12
28.97,11
28.989999999999995,9
29.009999999999998,4
29.029999999999994,7
29.049999999999997,5
29.069999999999993,10
29.089999999999996,7
29.11,6
29.129999999999995,5
29.15,10
29.169999999999995,10
29.189999999999998,6
29.209999999999994,8
29.229999999999997,6
29.249999999999993,5
29.269999999999996,7
29.29,7
29.309999999999995,7
29.33,5
29.349999999999994,5
29.369999999999997,11
29.389999999999993,12
29.409999999999997,10
29.429999999999993,12
29.449999999999996,10
29.47,10
29.489999999999995,6
29.509999999999998,8
29.529999999999994,10
29.549999999999997,4
29.569999999999993,4
29.589999999999996,7
29.61,4
