Up field,Down field,Rxx,+Rxy,-Rxy
-40550.0,40550.0,830.403339555261,-0.9356593273524147,0.9356593273524147
-40500.0,40500.0,830.4037475815707,-0.9355368899878655,0.9355368899878655
-40450.0,40450.0,830.4041556078803,-0.9354144526233164,0.9354144526233164
-40400.0,40400.0,830.40456363419,-0.9352920152587672,0.9352920152587672
-40350.0,40350.0,830.4049716604997,-0.935169577894218,0.935169577894218
-40300.0,40300.0,830.4053796868093,-0.9350471405296652,0.9350471405296652
-40250.0,40250.0,830.4057877131189,-0.934924703165116,0.934924703165116
-40200.0,40200.0,830.4061957394285,-0.9348022658005668,0.9348022658005668
-40150.0,40150.0,830.4066037657383,-0.9346798284360176,0.9346798284360176
-40100.0,40100.0,830.4070117920479,-0.9345573910714684,0.9345573910714684
-40050.0,40050.0,830.4074198183575,-0.9344349537069156,0.9344349537069156
-40000.0,40000.0,830.4078278446673,-0.9343125163423665,0.9343125163423665
-39950.0,39950.0,830.4082358709768,-0.9341900789778173,0.9341900789778173
-39900.0,39900.0,830.4086438972865,-0.934067641613268,0.934067641613268
-39850.0,39850.0,830.4090519235962,-0.9339452042487189,0.9339452042487189
-39800.0,39800.0,830.4094599499058,-0.9338227668841697,0.9338227668841697
-39750.0,39750.0,830.4098475903368,-0.9336197817862377,0.9336197817862377
-39700.0,39700.0,830.4101566410556,-0.9331062766826115,0.9331062766826115
-39650.0,39650.0,830.4104656917743,-0.9325927715789888,0.9325927715789888
-39600.0,39600.0,830.4107747424931,-0.9320792664753661,0.9320792664753661
-39550.0,39550.0,830.4110837932119,-0.9315657613717434,0.9315657613717434
-39500.0,39500.0,830.4113928439307,-0.9310522562681172,0.9310522562681172
-39450.0,39450.0,830.4117018946495,-0.9305387511644945,0.9305387511644945
-39400.0,39400.0,830.4120109453683,-0.9300252460608718,0.9300252460608718
-39350.0,39350.0,830.412319996087,-0.9295117409572491,0.9295117409572491
-39300.0,39300.0,830.4126290468058,-0.9289982358536228,0.9289982358536228
-39250.0,39250.0,830.4129380975246,-0.9284847307500002,0.9284847307500002
-39200.0,39200.0,830.4132471482434,-0.9279712256463775,0.9279712256463775
-39150.0,39150.0,830.4135561989622,-0.9274577205427548,0.9274577205427548
-39100.0,39100.0,830.4138652496811,-0.9269442154391285,0.9269442154391285
-39050.0,39050.0,830.4141743003997,-0.9264307103355058,0.9264307103355058
-39000.0,39000.0,830.4144833511186,-0.9259172052318831,0.9259172052318831
-38950.0,38950.0,830.4147924018373,-0.9254037001282605,0.9254037001282605
-38900.0,38900.0,830.4151014525562,-0.9248901950246342,0.9248901950246342
-38850.0,38850.0,830.4154105032749,-0.9243766899210115,0.9243766899210115
-38800.0,38800.0,830.4157195539938,-0.9238631848173888,0.9238631848173888
-38750.0,38750.0,830.4160286047124,-0.9233496797137661,0.9233496797137661
-38700.0,38700.0,830.4163376554313,-0.9228361746101399,0.9228361746101399
-38650.0,38650.0,830.4166467061501,-0.9223226695065172,0.9223226695065172
-38600.0,38600.0,830.4174377252746,-0.9220035831215867,0.9220035831215867
-38550.0,38550.0,830.4185731698733,-0.9218234327304025,0.9218234327304025
-38500.0,38500.0,830.419708614472,-0.9216432823392147,0.9216432823392147
-38450.0,38450.0,830.4208440590708,-0.9214631319480304,0.9214631319480304
-38400.0,38400.0,830.4219795036695,-0.9212829815568426,0.9212829815568426
-38350.0,38350.0,830.4231149482682,-0.9211028311656584,0.9211028311656584
-38300.0,38300.0,830.424250392867,-0.9209226807744706,0.9209226807744706
-38250.0,38250.0,830.4253858374658,-0.9207425303832864,0.9207425303832864
-38200.0,38200.0,830.4265212820645,-0.9205623799920986,0.9205623799920986
-38150.0,38150.0,830.4276567266633,-0.9203822296009108,0.9203822296009108
-38100.0,38100.0,830.428792171262,-0.9202020792097265,0.9202020792097265
