Theta2,Intensity
14.23,34.0909090909091
14.25,17.0454545454545
14.27,8.52272727272727
14.29,28.4090909090909
14.31,28.4090909090909
14.33,17.0454545454545
14.35,19.8863636363636
14.37,28.4090909090909
14.39,22.7272727272727
14.41,25.5681818181818
14.43,31.25
14.45,36.9318181818182
14.47,28.4090909090909
14.49,25.5681818181818
14.51,28.4090909090909
14.53,31.25
14.55,28.4090909090909
14.57,28.4090909090909
14.59,22.7272727272727
14.61,31.25
14.63,22.7272727272727
14.65,36.9318181818182
14.67,19.8863636363636
14.69,25.5681818181818
14.71,28.4090909090909
14.73,45.4545454545455
14.75,14.2045454545455
14.77,36.9318181818182
14.79,28.4090909090909
14.81,25.5681818181818
14.83,28.4090909090909
14.85,19.8863636363636
14.87,25.5681818181818
14.89,34.0909090909091
14.91,25.5681818181818
14.93,19.8863636363636
14.95,14.2045454545455
14.97,42.6136363636364
14.99,45.4545454545455
15.01,22.7272727272727
15.03,22.7272727272727
15.05,36.9318181818182
15.07,34.0909090909091
15.09,17.0454545454545
15.11,34.0909090909091
15.13,39.7727272727273
15.15,22.7272727272727
15.17,25.5681818181818
15.19,42.6136363636364
15.21,25.5681818181818
15.23,22.7272727272727
15.25,19.8863636363636
15.27,25.5681818181818
15.29,36.9318181818182
15.31,25.5681818181818
15.33,28.4090909090909
15.35,34.0909090909091
15.37,39.7727272727273
15.39,28.4090909090909
15.41,42.6136363636364
15.43,14.2045454545455
15.45,22.7272727272727
15.47,17.0454545454545
15.49,34.0909090909091
15.51,22.7272727272727
15.53,34.0909090909091
15.55,39.7727272727273
15.57,34.0909090909091
15.59,28.4090909090909
15.61,22.7272727272727
15.63,19.8863636363636
15.65,22.7272727272727
15.67,34.0909090909091
15.69,39.7727272727273
15.71,22.7272727272727
15.73,22.7272727272727
15.75,14.2045454545455
15.77,25.5681818181818
15.79,42.6136363636364
15.81,19.8863636363636
15.83,42.6136363636364
15.85,14.2045454545455
15.87,31.25
15.89,28.4090909090909
15.91,42.6136363636364
15.93,17.0454545454545
15.95,36.9318181818182
15.97,25.5681818181818
15.99,19.8863636363636
16.01,34.0909090909091
16.03,22.7272727272727
16.05,34.0909090909091
16.07,28.4090909090909
16.09,22.7272727272727
16.11,17.0454545454545
16.13,42.6136363636364
16.15,31.25
16.17,28.4090909090909
16.19,36.9318181818182
16.21,25.5681818181818
16.23,42.6136363636364
16.25,25.5681818181818
16.27,34.0909090909091
16.29,42.6136363636364
16.31,22.7272727272727
16.33,36.9318181818182
16.35,36.9318181818182
16.37,42.6136363636364
16.39,48.2954545454545
16.41,36.9318181818182
16.43,56.8181818181818
16.45,39.7727272727273
16.47,28.4090909090909
16.49,31.25
16.51,34.0909090909091
16.53,45.4545454545455
16.55,39.7727272727273
16.57,25.5681818181818
16.59,45.4545454545455
16.61,28.4090909090909
16.63,34.0909090909091
16.65,45.4545454545455
16.67,39.7727272727273
16.69,34.0909090909091
16.71,31.25
16.73,51.1363636363636
